Running script: v6_neural_vae.py
Loading configuration from C:\Users\schot\Neural_VAE_ODE\src\config.txt
Device: cuda
PCA disabled → using raw ROI with N=375
Selecting 100 landmark trials (greedy coverage)...
Subsampled to 100 sequences.
Built sequences: B=100, :=120, N=375
      valid loss 6.35748 | recon 6.29475 | kl 3.04792 | smooth 1.65418 | trans 0.09423 | lle 0.00011 | R² 0.0792
[088] train loss 0.59421 | recon 0.53440 | kl 2.90790 | smooth 2.19649 | trans 0.05461 | lle 0.00085 | beta 0.020
      valid loss 6.32916 | recon 6.25947 | kl 3.39626 | smooth 1.63530 | trans 0.09424 | lle 0.00012 | R² 0.0844
[089] train loss 0.58831 | recon 0.53101 | kl 2.78283 | smooth 2.17924 | trans 0.05463 | lle 0.00078 | beta 0.020
      valid loss 6.35627 | recon 6.29324 | kl 3.06243 | smooth 1.67976 | trans 0.09423 | lle 0.00012 | R² 0.0794
[090] train loss 0.60344 | recon 0.54990 | kl 2.59394 | smooth 2.21234 | trans 0.05411 | lle 0.00085 | beta 0.020
      valid loss 6.32849 | recon 6.25716 | kl 3.47758 | smooth 1.66562 | trans 0.09423 | lle 0.00011 | R² 0.0847
[091] train loss 0.57742 | recon 0.51832 | kl 2.87118 | smooth 2.25825 | trans 0.05462 | lle 0.00096 | beta 0.020
      valid loss 6.30422 | recon 6.23835 | kl 3.20477 | smooth 1.65309 | trans 0.09423 | lle 0.00010 | R² 0.0874
[092] train loss 0.56882 | recon 0.51622 | kl 2.54648 | smooth 2.24321 | trans 0.05448 | lle 0.00086 | beta 0.020
      valid loss 6.33576 | recon 6.26725 | kl 3.33535 | smooth 1.71710 | trans 0.09422 | lle 0.00012 | R² 0.0832
[093] train loss 0.55084 | recon 0.49746 | kl 2.58474 | smooth 2.26535 | trans 0.05424 | lle 0.00094 | beta 0.020
      valid loss 6.29423 | recon 6.21720 | kl 3.76137 | smooth 1.71353 | trans 0.09423 | lle 0.00010 | R² 0.0905
[094] train loss 0.57062 | recon 0.51201 | kl 2.84498 | smooth 2.30917 | trans 0.05423 | lle 0.00084 | beta 0.020
      valid loss 6.37487 | recon 6.30081 | kl 3.61344 | smooth 1.69204 | trans 0.09424 | lle 0.00010 | R² 0.0783
[095] train loss 0.56900 | recon 0.50827 | kl 2.95201 | smooth 2.27121 | trans 0.05446 | lle 0.00087 | beta 0.020
      valid loss 6.28838 | recon 6.22316 | kl 3.17087 | smooth 1.70507 | trans 0.09423 | lle 0.00012 | R² 0.0897
[096] train loss 0.53430 | recon 0.47952 | kl 2.65507 | smooth 2.29650 | trans 0.05246 | lle 0.00096 | beta 0.020
      valid loss 6.35015 | recon 6.27828 | kl 3.50260 | smooth 1.74778 | trans 0.09423 | lle 0.00013 | R² 0.0816
[097] train loss 0.55142 | recon 0.49542 | kl 2.71485 | smooth 2.31065 | trans 0.05378 | lle 0.00083 | beta 0.020
      valid loss 6.29938 | recon 6.23154 | kl 3.30094 | smooth 1.74623 | trans 0.09422 | lle 0.00012 | R² 0.0884
[098] train loss 0.54203 | recon 0.48780 | kl 2.62515 | smooth 2.35007 | trans 0.05443 | lle 0.00090 | beta 0.020
      valid loss 6.27633 | recon 6.22436 | kl 2.50801 | smooth 1.72576 | trans 0.09423 | lle 0.00010 | R² 0.0895
[099] train loss 0.52882 | recon 0.47110 | kl 2.79932 | smooth 2.35456 | trans 0.05404 | lle 0.00086 | beta 0.020
      valid loss 6.23074 | recon 6.15854 | kl 3.51941 | smooth 1.73383 | trans 0.09422 | lle 0.00010 | R² 0.0991
[100] train loss 0.53641 | recon 0.48065 | kl 2.70127 | smooth 2.36113 | trans 0.05452 | lle 0.00092 | beta 0.020
      valid loss 6.29808 | recon 6.22315 | kl 3.65530 | smooth 1.76129 | trans 0.09421 | lle 0.00011 | R² 0.0897
[101] train loss 0.53328 | recon 0.47360 | kl 2.89679 | smooth 2.37852 | trans 0.05455 | lle 0.00083 | beta 0.020
      valid loss 6.22375 | recon 6.15431 | kl 3.38173 | smooth 1.72895 | trans 0.09421 | lle 0.00011 | R² 0.0997
